ID_float,dt_float,lat_float,lon_float,kd_380_Xing,kd_412_Xing,kd_490_Xing,PAR_0,zpd_PAR,kd_PAR,kd_490_it,kd_412_it,aot_869,angstrom,Rrs_412,Rrs_443,Rrs_469,Rrs_488,Rrs_531,Rrs_547,Rrs_555,Rrs_645,Rrs_667,Rrs_678,chlor_a,Kd_490_Aus,sat_dt,weigth,new_kd_Aus,sat_name,a_490,bb_490,nw_490,a_412,bb_412,nw_412,new_kd_490_Lee_indiv,new_kd_412_Lee_indiv,zenith_angle,rrs_412,rrs_490,aot_862,Rrs_410,Rrs_486,Rrs_551,Rrs_671,new_kd_490_Lee_global,new_kd_412_Lee_global,TOTANGSTR_Merra,TOTEXTTAU_Merra,TOTSCATAU_Merra,PS_Merra,lat_Merra,lon_Merra,dt_Merra,tau_mol_490,tau_mol_412,w_490,w_412,a_aer,tau_aer_490,tau_aer_412,t_dir_490,t_dir_412,t_tot_490,t_tot_412,f_490,f_412,D0_490,D0_412,kd_490_f,kd_412_f
6901439,735186.5674,-18.51201833,-25.25144333,0.020705008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.269040507,NaN,0.013395851,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.020938241,0.020394594,735186.6646,0.004249804,0.019168919,viirs,0.016701525,0.00238591,0.591811904,0.013387475,0.004281615,0.680422642,0.018760441,0.014447656,35.90185658,0.028877339,0.013070189,0.031733333,0.01648005,0.007698901,0.001511591,9.92E-05,0.019295943,0.014516097,1.044633746,0.044957105,0.040253591,101659,-18.5,-25,735186.5417,0.153865024,0.315562628,0.793597985,0.662126275,0.666666667,0.015495509,0.012435079,0.811329325,0.667027421,0.903522391,0.817366834,0.897962611,0.816068616,1.230703586,1.227629827,0.023490974,0.021691102
6901439,735187.5618,-18.50868333,-25.26618167,0.024059761,0.016583936,0.019344651,1715.482269,21.72874253,0.046021991,0.01809833,0.016172672,NaN,0.921377123,NaN,0.014006479,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.019763615,0.022085106,735187.6479,0.004249804,0.020266649,viirs,0.017884296,0.00274088,0.515166544,0.013958526,0.004780112,0.609464323,0.019272841,0.014031306,30.16252301,0.03080493,0.014025852,0.037429545,0.017595218,0.008208175,0.001752218,0.000139479,0.020240553,0.014721963,0.890523732,0.060014717,0.055537276,101602.3438,-18.5,-25,735187.5417,0.153859368,0.31538676,0.834934205,0.715478896,0.666666667,0.02224285,0.018958841,0.815723598,0.679292203,0.907734591,0.825932864,0.898636679,0.822454503,1.160694485,1.163772295,0.023939528,0.021807507
6901439,735187.5618,-18.50868333,-25.26618167,0.024059761,0.016583936,0.019344651,1715.482269,21.72874253,0.046021991,0.01809833,0.016172672,0.069752172,0.513704398,0.018448001,0.014917251,0.011665653,0.008421479,0.002486418,0.001765281,0.001404418,5.48E-05,0.000152783,0.000180436,0.015158075,0.019799999,735187.6163,0.004249804,0.019626844,aqua,0.014930293,0.002309465,0.600889175,0.011578214,0.004146125,0.688110037,0.01711658,0.013359626,19.41304209,0.032122977,0.014156816,NaN,NaN,NaN,NaN,NaN,0.01582265,0.011161708,0.890523732,0.060014717,0.055537276,101602.3438,-18.5,-25,735187.5417,0.153859368,0.31538676,0.834934205,0.715478896,0.666666667,0.051967989,0.047539494,0.803936779,0.680584374,0.906349935,0.828986734,0.88700484,0.820983432,1.075728767,1.084755209,0.018545303,0.017057059
6901439,735188.5743,-18.51591167,-25.27693833,0.026022028,0.017326245,0.019165333,1425.99144,27.51750279,0.036340507,0.018894207,0.016042001,0.091699998,0.214783391,0.018070556,0.016049159,0.011981648,0.008478001,0.002488942,0.001764236,0.001422001,9.70E-05,0.000187413,0.000210824,0.011092122,0.019741176,735188.5295,0.004249804,0.019415298,terra,0.014955297,0.002313177,0.599924704,0.011861094,0.004151343,0.687245109,0.01744564,0.015256185,10.25066222,0.031442107,0.014155866,NaN,NaN,NaN,NaN,NaN,0.015166274,0.010975113,0.901485443,0.10031078,0.094151363,101643.2578,-18.5,-25,735188.5417,0.153863452,0.315513762,0.845774398,0.723392005,0.666666667,0.081082313,0.078118372,0.787606527,0.670308685,0.902576048,0.825434363,0.872620682,0.812067822,1.039247857,1.050194587,0.017946225,0.016816175
6901473,735195.6215,20.87351598,-39.78834579,0.032693364,0.021242724,NaN,NaN,NaN,NaN,NaN,0.022552256,0.104186954,0.234737557,0.013144668,0.010272175,0.008677334,0.006752418,0.002339918,0.001773044,0.00142661,0.000217001,0.000177906,0.000178834,0.052594344,0.025356521,735195.658,0.005062924,0.02318926,aqua,0.019028304,0.002444428,0.56771247,0.016832768,0.004334831,0.658154885,0.024601011,0.022507851,45.79189677,0.023447171,0.011745071,NaN,NaN,NaN,NaN,NaN,0.02319815,0.019991299,0.512858808,0.051627748,0.050022431,101659.3594,21,-40,735195.5833,0.15386506,0.315563744,0.913173342,0.835479002,0.666666667,0.091076236,0.087443917,0.70378109,0.561029236,0.868007165,0.767680468,0.810801015,0.730810877,1.389299214,1.370327801,0.02983205,0.02900655
6901473,735195.6215,20.87351598,-39.78834579,0.032693364,0.021242724,NaN,NaN,NaN,NaN,NaN,0.022552256,NaN,0.344204499,NaN,0.008834401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.063834649,0.023137777,735195.6229,0.005062924,0.021097493,viirs,0.01964486,0.002172301,0.650006373,0.018689912,0.003980895,0.73182222,0.023179873,0.021929641,41.87503536,0.019466825,0.010095872,0.061047825,0.010856214,0.005796479,0.001303788,9.22E-05,0.023648105,0.022263279,0.512858808,0.051627748,0.050022431,101659.3594,21,-40,735195.5833,0.15386506,0.315563744,0.913173342,0.835479002,0.666666667,0.050261215,0.047349432,0.76022466,0.614226297,0.887404429,0.793566877,0.856683419,0.774006974,1.322074509,1.31000387,0.028843912,0.029698846
6901473,735195.6215,20.87351598,-39.78834579,0.032693364,0.021242724,NaN,NaN,NaN,NaN,NaN,0.022552256,0.083276468,0.544530049,0.011196364,0.008678183,0.007306728,0.006068364,0.001922365,0.001415092,0.001384001,0.000240001,9.96E-05,8.66E-05,0.069086219,0.022018181,735195.526,0.005062924,0.02099833,terra,0.020619937,0.002387066,0.581354896,0.019343029,0.004253553,0.670731178,0.027414342,0.026855634,48.86485004,0.020088789,0.01057432,NaN,NaN,NaN,NaN,NaN,0.025625854,0.023805899,0.512858808,0.051627748,0.050022431,101659.3594,21,-40,735195.5833,0.15386506,0.315563744,0.913173342,0.835479002,0.666666667,0.060957945,0.055466125,0.72140151,0.56892052,0.870144121,0.766851768,0.829059798,0.741891124,1.464896112,1.436729086,0.033702869,0.033901895
6901475,735198.6069,20.59015333,-40.17028667,0.036444145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.457077829,NaN,0.011070392,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.045802277,0.026629166,735198.6521,0.005062924,0.023476332,viirs,0.021311827,0.003004211,0.470010106,0.018732502,0.005146919,0.566029401,0.024724052,0.02093723,44.97536923,0.024966712,0.01289622,0.074623911,0.014022653,0.007379175,0.001872793,0.000179251,0.02614634,0.022490464,0.838611245,0.043436382,0.041788425,101833.6953,20.5,-40,735198.5833,0.153882463,0.316104905,0.873236901,0.755067201,0.666666667,0.057643681,0.053251796,0.741548564,0.593258623,0.877258754,0.777761838,0.845301982,0.762776718,1.380097482,1.362222014,0.033558503,0.032529073
6901032,735199.4882,43.39763333,7.912861667,0.110205271,0.100691805,0.056217669,310.2578322,12.01404358,0.083235922,0.053948031,0.078682828,NaN,0.424288941,NaN,0.005693751,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.206041347,0.055342856,735199.5021,8.63E-05,0.046033257,viirs,0.040245716,0.003552102,0.397513841,0.052306247,0.005827031,0.499964286,0.052318576,0.068223351,65.3339746,0.010171856,0.008037009,0.168599996,0.005514251,0.004421001,0.002045001,0.000315501,0.055937156,0.075575404,0.823933244,0.086312011,0.078901693,101329.5078,43.5,8.125,735199.4583,0.153832133,0.314539842,0.831153334,0.720509836,0.666666667,0.132670613,0.123261163,0.503326364,0.350268024,0.754257867,0.609651954,0.667313377,0.574537687,1.99723895,1.885982795,0.087474709,0.109638362
6901475,735199.609,20.55925667,-40.20613,0.032248265,0.023847248,NaN,NaN,NaN,NaN,NaN,0.022947866,0.091486361,0.199947117,0.013870418,0.010772668,0.009035418,0.007042637,0.00239374,0.001770957,0.001452697,0.000181044,0.000190501,0.000178349,0.04571838,0.023836363,735199.5781,0.005062924,0.022385606,terra,0.018520723,0.002471461,0.561502691,0.016115115,0.004372874,0.652429182,0.024351062,0.022547943,42.5306729,0.024667388,0.012203875,NaN,NaN,NaN,NaN,NaN,0.022219628,0.01871384,0.575821519,0.043305822,0.04146491,101813.4141,20.5,-40,735199.5833,0.153880438,0.316041949,0.895875024,0.810753296,0.666666667,0.081583959,0.078804131,0.726492608,0.585195603,0.875932245,0.779483844,0.829393611,0.750747571,1.329709266,1.317125303,0.027913502,0.026985248
